Season,circuit_id,constructor_id,driver_id,Laps,Race time,Points,Rank
2010,yeongam,toro_rosso,buemi,30.0,DNF,0.0,NC
2010,yeongam,virgin,grassi,25.0,DNF,0.0,NC
2010,yeongam,lotus_racing,trulli,25.0,DNF,0.0,NC
2010,yeongam,renault,webber,18.0,DNF,0.0,NC
2010,yeongam,mercedes,rosberg,18.0,DNF,0.0,NC
2010,interlagos,renault,vettel,71.0,1:33:11.803,25.0,1
2010,interlagos,renault,webber,71.0,+4.243s,18.0,2
2010,interlagos,ferrari,alonso,71.0,+6.807s,15.0,3
2010,interlagos,mclaren,hamilton,71.0,+14.634s,12.0,4
2010,interlagos,mclaren,button,71.0,+15.593s,10.0,5
2010,interlagos,mercedes,rosberg,71.0,+35.320s,8.0,6
2010,interlagos,mercedes,michael_schumacher,71.0,+43.456s,6.0,7
2010,interlagos,williams,hulkenberg,70.0,+1 lap,4.0,8
2010,interlagos,renault,kubica,70.0,+1 lap,2.0,9
2010,interlagos,sauber,kobayashi,70.0,+1 lap,1.0,10
2010,interlagos,toro_rosso,alguersuari,70.0,+1 lap,0.0,11
2010,interlagos,force_india,sutil,70.0,+1 lap,0.0,12
